Country-Region-City,Latitude,Longitude
"ARGENTINA,_,BUENOS AIRES",-34.59972,-58.38194
"ARGENTINA,_,CABA",-16.510224,-68.124932
"ARGENTINA,_,CHACO",-27.45139,-58.98667
"ARGENTINA,_,CORDOBA",-31.41667,-64.18333
"ARGENTINA,_,CORRIENTES",-27.48333,-58.81667
"ARGENTINA,_,ENTRE RIOS",-32.0477,-60.281
"ARGENTINA,_,FORMOSA",-26.18472,-58.17583
"ARGENTINA,_,JUJUY",-23.75,-65.5
"ARGENTINA,_,LA PAMPA",-36.61667,-64.28333
"ARGENTINA,_,LA RIOJA",-29.41306,-66.85583
"ARGENTINA,_,MENDOZA",-32.88333,-68.83333
"ARGENTINA,_,MISIONES",-26.92,-54.52
"ARGENTINA,_,NEUQUEN",-38.95735,-68.04553
"ARGENTINA,_,RIO NEGRO",-40.8,-63.0
"ARGENTINA,_,SALTA",-24.78833,-65.41056
"ARGENTINA,_,SAN LUIS",-33.27722,-66.3525
"ARGENTINA,_,SANTA CRUZ",-48.82389,-69.815
"ARGENTINA,_,SANTA FE",-31.63333,-60.7
"ARGENTINA,_,SANTIAGO DEL ESTERO",-27.78444,-64.26694
"ARGENTINA,_,TUCUMAN",-27.0,-65.5
"BANGLADESH,_,_",24.3476078,90.07797404
"BELARUS,GOMEL,GOMEL",52.44167,30.98333
"BELARUS,MINSK-CITY,MINSK",53.90225,27.56184
"BELARUS,MOGILEV,MOGILEV",53.9,30.33333
"BELARUS,VITEBSK,MYORY",55.61667,27.61667
"BELARUS,VITEBSK,NOVOPOLOTSK",55.53333,28.66667
"BELARUS,VITEBSK,ORSHA",54.50917,30.42583
"BELARUS,VITEBSK,VITEBSK",55.18333,30.16667
"BENIN,LITTORAL,COTONOU",6.373391,2.4401
"BENIN,_,COTONOU",6.373391,2.4401
"BOTSWANA,_,_",-24.66667,25.91667
"BRAZIL,ACRE,RIO BRANCO",-9.9765,-67.8221
"BRAZIL,ALAGOAS,MACEIO",-9.6477,-35.7339
"BRAZIL,AMAZONAS,MANAUS",-3.1329,-59.9865
"BRAZIL,BAHIA,CAMACARI",-12.6998,-38.3261
"BRAZIL,BAHIA,FEIRA DE SANTANA",-12.2579,-38.9598
"BRAZIL,BAHIA,ITABUNA",-14.7876,-39.2781
"BRAZIL,BAHIA,LAURO DE FREITAS",-12.8978,-38.3215
"BRAZIL,BAHIA,SALVADOR",-12.9822,-38.4813
"BRAZIL,BAHIA,URUCUCA",-14.5913,-39.2862
"BRAZIL,BAHIA,VITORIA DA CONQUISTA",-14.8567,-40.8415
"BRAZIL,CEARA,FORTALEZA",-3.7305,-38.5218
"BRAZIL,DISTRITO FEDERAL,BRASILIA",-15.7934,-47.8823
"BRAZIL,ESPIRITO SANTO,VITORIA",-20.2997,-40.3016
"BRAZIL,GOIAS,GOIANIA",-16.6809,-49.2533
"BRAZIL,MATO GROSSO DO SUL,CAMPO GRANDE",-20.464,-54.6163
"BRAZIL,MATO GROSSO DO SUL,CORUMBA",-19.0064,-57.6495
"BRAZIL,MATO GROSSO DO SUL,TRES LAGOAS",-20.7917,-51.7111
"BRAZIL,MATO GROSSO,BARRA DO GARCAS",-15.8916,-52.2615
"BRAZIL,MATO GROSSO,CUIABA",-15.5987,-56.0991
"BRAZIL,MINAS GERAIS,BELO HORIZONTE",-19.9227,-43.9451
"BRAZIL,MINAS GERAIS,BETIM",-19.9681,-44.1983
"BRAZIL,MINAS GERAIS,GOVERNADOR VALADARES",-18.8539,-41.9459
"BRAZIL,MINAS GERAIS,JANAUBA",-15.8004,-43.3115
"BRAZIL,MINAS GERAIS,PASSOS",-20.7192,-46.6095
"BRAZIL,MINAS GERAIS,SAO GOTARDO",-19.3169,-46.0477
"BRAZIL,MINAS GERAIS,SETE LAGOAS",-19.4661,-44.2469
"BRAZIL,MINAS GERAIS,TRES PONTAS",-21.3706,-45.5121
"BRAZIL,MINAS GERAIS,UBERLANDIA",-18.9188,-48.2768
"BRAZIL,MINAS GERAIS,VISCONDE RIO BRANCO",-5.855271,-35.351872
"BRAZIL,PARA,BELEM",-1.4506,-48.4682
"BRAZIL,PARAIBA,JOAO PESSOA",-7.1216,-34.882
"BRAZIL,PARANA,CAMPO LARGO",-25.4598,-49.5271
"BRAZIL,PARANA,CASCAVEL",-24.9617,-53.4361
"BRAZIL,PARANA,CURITIBA",-25.4296,-49.2712
"BRAZIL,PARANA,FOZ DO IGUACU",-25.5209,-54.5763
"BRAZIL,PARANA,FRANCISCO BELTRAO",-26.0791,-53.0534
"BRAZIL,PARANA,JACAREZINHO",-22.8875,-43.2579
"BRAZIL,PARANA,PONTA GROSSA",-25.0892,-50.1602
"BRAZIL,PARANA,TOLEDO",-24.7222,-53.7402
"BRAZIL,PERNAMBUCO,RECIFE",-8.0642,-34.8782
"BRAZIL,PERNAMBUCO,SAO LOURENCO",-22.1164,-45.0542
"BRAZIL,PERNAMBUCO,SIRINHAEM",-8.5923,-35.1152
"BRAZIL,RIO DE JANEIRO,RIO DE JANEIRO",-22.911,-43.2094
"BRAZIL,RIO GRANDE DO NORTE,GUARARAPES",-21.2533,-50.646
"BRAZIL,RIO GRANDE DO NORTE,NATAL",-5.8054,-35.2081
"BRAZIL,RIO GRANDE DO SUL,PORTO ALEGRE",-30.033,-51.2305
"BRAZIL,SANTA CATARINA,FLORIANOPOLIS",-27.5973,-48.5496
"BRAZIL,SAO PAULO,AMERICANA",-22.7392,-47.3314
"BRAZIL,SAO PAULO,AMPARO",-22.7011,-46.7644
"BRAZIL,SAO PAULO,ARACATUBA",-21.208,-50.439
"BRAZIL,SAO PAULO,BAURU",-22.3218,-49.0706
"BRAZIL,SAO PAULO,BEBEDOURO",-20.9491,-48.4791
"BRAZIL,SAO PAULO,CAMPINAS",-22.9056,-47.0608
"BRAZIL,SAO PAULO,COTIA",-23.6039,-46.9189
"BRAZIL,SAO PAULO,FRANCA",-20.5382,-47.401
"BRAZIL,SAO PAULO,ITAPECERICA DA SERRA",-23.7176,-46.8492
"BRAZIL,SAO PAULO,ITAQUAQUECETUBA",-23.4858,-46.3478
"BRAZIL,SAO PAULO,JUNDIAI",-23.1882,-46.8838
"BRAZIL,SAO PAULO,RIBEIRAO PRETO",-21.1783,-47.8067
"BRAZIL,SAO PAULO,RIO CLARO",-22.4108,-47.5608
"BRAZIL,SAO PAULO,S JOSE R PRETO",-22.087831,-43.821471
"BRAZIL,SAO PAULO,S PAULO",-23.585244,-46.723191
"BRAZIL,SAO PAULO,SANTOS",-23.9608,-46.3339
"BRAZIL,SAO PAULO,SAO JOSE DOS CAMPOS",-23.1806,-45.8907
"BRAZIL,SAO PAULO,SOROCABA",-23.5017,-47.4581
"BRAZIL,SAO PAULO,TAUBATE",-23.0314,-45.5613
"BULGARIA,_,_",42.76137671,25.23150701
"CAMBODIA,SIEM REAP PROVINCE,DAM DEK",13.259501,104.121303
"CAMBODIA,SIEM REAP PROVINCE,SIEM REAP",13.33333,103.83333
"CAMEROON,CENTRE REGION,YAOUNDE",3.864768,11.520526
"CANADA,QUEBEC,_",46.8257,-71.2349
"CANADA,_,_",55.58590129,-105.7505959
"CENTRAL AFRICAN REPUBLIC,_,_",6.57134078462119,20.48282611
"CHINA,BEIJING MUNICIPALITY,_",39.905,116.39139
"CHINA,CHONGQING MUNICIPALITY,_",29.55,106.50694
"CHINA,CY,_",35.197761,33.332583
"CHINA,GANSU PROVINCE,_",38.24243224,102.2629039
"CHINA,GUIZHOU PROVINCE,_",27.21755203,106.8243573
"CHINA,HONG KONG,HONG KONG",22.2996535,114.1675485
"CHINA,JIANGSU PROVINCE,_",32.0497095,118.7647345
"CHINA,SHANGHAI MUNICIPALITY,_",31.16667,121.46667
"CHINA,TIANJIN MUNICIPALITY,_",39.14667,117.20556
"CHINA,XINJIANG AUTONOUMOUS REGION,_",43.818435,87.581775
"CHINA,ZHEJIANG PROVINCE,_",28.72590219,120.071318
"CHINA,_,_",25.758297,110.121626
"CROATIA,_,_",42.663857,18.081771
"CZECH REPUBLIC,_,_",50.047345,14.4564
"DRC CONGO,_,KINSHASA",-4.32333,15.30806
"ECUADOR,_,_",-2.188936,-79.881704
"EGYPT,ABBASSIA,_",25.177443,55.245974
"EGYPT,ALEXANDRIA,_",31.2,29.91667
